VMMS EWO KPI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Site;EWO WO Object Id;EWO WO Object Description;EWO WO Machine Class PM;EWO WO Machine Class AM;EWO WO AM Step;EWO WO OP System;EWO WO PM Step;EWO WO RP Capacity;EWO WO RP Competence;EWO WO RP Cond Wear;EWO WO RP Method;EWO WO RP Quality;EWO WO RP Spare Part;EWO WO RP EEM Sum;EWO WO Repl Policy;EWO WO RP Phase;EWO WO RP Status;EWO WO Object Manufacturer No;EWO WO Object Manufacturer Name;EWO WO Object Cost Center;EWO WO Object Belongs to Obejct Id;040-PRODAREA;050-PRODLINE;070-STATION;EWO WO No;EWO WO Directive;EWO WO Maint Org;EWO WO Break Down Date;EWO WO OP Arrives;EWO WO Reg Date;EWO WO Reg Date YYYYMM;EWO WO Reported By;EWO WO Actual Start Date;EWO WO Actual Finish Date (Error proofing finished);EWO WO Production Restart;EWO WO Executed by;EWO WO Work Done;EWO WO Work Details;EWO WO Status;EWO WO Executed by Maint Org;EWO WO SAF ENV PD QC IT;EWO WO External Number;EWO WO Comments;Root Cause;Root Cause Description;Root Cause Group;CD Root Cause Group;Root Cause Found;Root Cause WO No;Root Cause WO Object Id;Root Cause WO Object Name;Root Cause WO Object Manufacturer No;Root Cause WO Object Manufacturer Name;Root Cause WO 090-UNIT Object Id;Root Cause WO 090-UNIT Object Name;Root Cause WO Maint Org;Root Cause WO Executed by;Root Cause WO Executed by Maint Org;Root Cause WO Directive;Root Cause WO Reg Date;Root Cause WO Actual Start Date  (Spare part available at machine);Root Cause WO Actual Finish Date (Maint Done with Repair);Route Cause WO Work Done;Route Cause WO Work Details;Route Cause WO Status;Root Cause WO Real Finish Date YYYYMM;Route Cause WO SAF ENV PD QC IT;Route Cause WO External Number;Route Cause WO Comments;Kaizen Type;Kaizen WO NO;Kaizen WO Object Id;Kaizen WO Object Name;Kaizen WO Directive;Kaizen WO Maint Org;Kaizen WO Executed by;Kaizen WO Executed by Maint Org;Kaizen WO Reg Date;Kaizen WO Actual Start Date;Kaizen WO Actual Finish Date;Kaizen WO Real Finish Date YYYYMM;Kaizen WO Work Done;Kaizen WO Work Details;Kaizen WO Status;Kaizen WO SAF ENV PD QC IT;Kaizen WO External Number;Kaizen WO Comments;EWO WO Total Actual Cost;EWO WO Other Total Actual Cost;Root Cause WO Total Actual Cost;Root Cause WO Other Total Actual Cost;Kaizen WO Total Actual Cost;Kaizen WO Other Total Actual Cost;EWO WO Inventory Sparepart;Root Cause WO Inventory Sparepart;KAIZEN WO Inventory Sparepart;EWO WO Purchase Sparepart;Root Cause WO Purchase Sparepart;KAIZEN WO PurchaseSparepart;DTM (Hours between EWO WO Reg Date and Root Cause Real Finish);WTM  (Hours between EWO WO Reg Date and Real Start);TTR (Hours between EWO WO Real Start and Route Cause WO Real Finish);TST (Hours between EWO WO Real Start and Real Finish);WTSP (Hours between EWO WO Real Finish and Route Cause WO Real Start);RT (Hours between Root Cause WO Real Start and Real Finish);DT (Hours between EWO WO Break Down and Restart);DTOP (Hours between EWO WO Break Down and EWO WO Reg Date +  Root Cause WO Real Finish and EWO WO Restart);WTOP  (Hours between EWO WO Break Down and OP Arrives);RTOP  (Hours between EWO OP Arrives and Reg Date);TSU (Hours between Root Cause WO Real Finish and Restart)
KOP;8548148;DMG CLX 550, svarv;A;A;3;Siemens 840D SL;0;;;;;;;0;;;;4241;DMG;7554;VERKTYG-1;VERKTYG;VERKTYG-1;;40623367;chuvck/spindel slår ifrån;EL;2022-04-01  09,45,00;2022-04-01  09,50,00;2022-04-01  09,52,04;202204;A259945;2022-04-01  10,16,14;2022-04-01  10,20,00;2022-04-01  10,25,00;KK49189;;"kim kollar remmarna// Tjomme

spännt remmarna lite till. op verkade nöjd.

//thomsen";WORKDONE;ANL-TEK;;A1;;220;Failure to Observe Operating Conditions (Overload);Autonomous Maintenance;Failure to observe operating conditions;YES;40623555;8548148;DMG CLX 550, svarv;4241;DMG;;;EL;KK03047;MEK-A;spännt remmar;2022-04-01  14,23,20;2022-04-01  10,20,00;2022-04-01  10,23,00;justering remmar;"spännt remmarna lite till. op verkade nöjd.

//thomsen";WORKDONE;202204;;;;STD-KAIZEN;40624326;8548148;DMG CLX 550, svarv;spännt remmar;UH-TEK-A;KK49189;ANL-TEK;2022-04-04  05,51,43;2022-04-19  09,51,27;2022-04-19  09,51,27;202204;;;WORKDONE;;;;652,5;;0;;0;;;;;;;;0,52;0,4;0,11;0,06;0;0,05;0,67;0,15;0,08;0,03;0,03
KOP;8527106;Chiron Flerop AV74;AA;;;Siemens 840D PL;3;;;;;;;0;;;;22;Chiron;7781;AV74;E-MOB;AV74;;40623622;Fortsatt problem med oljeläckage i maskinbord;MEK-A;2022-04-01  16,18,00;2022-04-01  16,18,00;2022-04-01  16,18,40;202204;A391701;2022-04-01  16,44,38;2022-04-01  19,00,25;2022-04-01  20,40,48;A324008;Felsökning;"Op har tagit bort fixturen, vi upplever att det läcker i bordet.

En av o ringarna i bordet såg dålig ut
Hydraultrycket vandrar mycket i spänt läge, Misstänker inre läckage i ventilblocket(Spricka)? Block och ventiler blir väldigt varma.

Har varit ner under kvällen och kollat och det fungerar säger OP";WORKDONE;MEK-A;;A1;;120;Failure to Observe Operating Conditions (Wear out);Autonomous Maintenance;Failure to observe operating conditions;YES;40623797;8527106-C0009;Dockningsventil Bord;;;8527106-U07;Detaljspindel, inkl. vridrö.;MEK-A;KK02063;MEK;Byte av o ringar;2022-04-01  22,29,57;2022-04-01  19,00,25;2022-04-01  20,33,48;;"Bytt tre o ringar mellan bord och fixtur runt dockningsventilerna.Nya o ringar fanns ute vid maskinen.
Hydraultrycket vandrar mycket i spänt läge, Misstänker inre läckage i ventilblocket(Spricka)?";WORKDONE;202204;;;;STD-KAIZEN;40623802;8527106-C0009;Dockningsventil Bord;Byt oringar vid ställ;UH-TEK-A;A228507;UH-TEK-A;2022-04-01  22,40,08;2022-04-29  14,08,53;2022-04-29  14,08,53;202204;;Saknar instraktion, det finns inte i OP-listan hur vi ska göra. I RNC,n så lägger vi den mot metod.;WORKDONE;;;;2610;;0;;0;;;;;;;;4,25;0,43;3,82;2,26;0;1,56;4,38;0,13;0;0,01;0,12
KOP;8544763;EMAG VLC250DS, LM38;A;;;Siemens 840D SL;0;;;;;;;0;;;;33;Emag;7772;LM38;MA/PT-HÅRT;LM38;;40624256;Flödesvakt full med skit;MEK-A;2022-04-04  00,20,00;2022-04-04  00,25,00;2022-04-04  00,29,02;202204;A233042;2022-04-04  00,40,00;2022-04-04  01,00,00;2022-04-04  02,35,00;KK03047;;;WORKDONE;MEK-A;;A1;;120;Failure to Observe Operating Conditions (Wear out);Autonomous Maintenance;Failure to observe operating conditions;YES;40624289;8544763-C0425;Flödesvakt, Modell, SI5010, Tillv, Ifm;;;8544763-U18;Kylsmörjmedel;MEK-A;KK03047;MEK-A;flödesvakt;2022-04-04  03,36,28;2022-04-04  01,00,00;2022-04-04  02,30,00;;"monterat bort flödesvakt och gjort rent. provkört, op nöjd och glad

vore bra om man kunde montera kran så man kan stänga av vattnet ordentligt.

//thomsen";WORKDONE;202204;;;;STD-KAIZEN;40624293;8544763-C0425;Flödesvakt, Modell, SI5010, Tillv, Ifm;smutsig flödesvakt;UH-TEK-A;A079291;UH-ING-A;2022-04-04  03,47,17;2022-04-11  11,39,51;2022-04-11  11,39,51;202204;;;WORKDONE;;;;870;;0;;0;;;;;;;;2,02;0,18;1,83;0,33;0;1,5;2,25;0,23;0,08;0,07;0,08
KOP;8515433;BUDERUS INNERSLIPMASKIN AV82;A;;;Siemens 840D PL;0;2;2;2;2;1;2;11;;;;18;Buderus;7772;AV82;MA/PT-HÅRT;AV82;;40624388;Det glappar i chuckback 2 i maskinen;MEK-A;2022-04-04  08,00,00;2022-04-04  08,01,00;2022-04-04  08,11,09;202204;A310828;2022-04-04  08,45,00;2022-04-04  09,45,00;2022-04-04  23,01,00;KK02733;;mätt kast på detalj i spindel. kastar olika om man spänner om detalj eller vrider till annat läge.;WORKDONE;MEK-A;;A1;;130;Failure to Restore or Eliminate Deterioration (Wear out);Professional Maintenance;Failure to restore or eliminate wear;YES;40625210;8515433-C0004;Chuck, Tillv, Buderus Gleitbackenfutter GBF-250_SWB;;;8515433-U03;C-detaljspindel;MEK-A;KK03047;MEK-A;rengöring chuck;2022-04-05  05,33,02;2022-04-04  09,45,02;2022-04-04  23,00,00;;"plockat isär chucken . upplever att kolven till back nr2 går tungt. delarna ligger i tvätt maskinen. lämnar över till fm.
//thomsen
Tvättat alla delar i biotvätten och smort in delarna,fått hjälp av verktyg och slipat in stödet/styrningen till back nr2.
Chuck monterad i maskin, op ska ställa in och provköra. Peter & Hed. 5/4-22
Chucken spänner ej ordentligt.
Demo chuck igen och bytt fjädrar, efter det fungerar chucken bra-ok.";WORKDONE;202204;;;;STD-KAIZEN;40627149;8515433-C0004;Chuck, Tillv, Buderus Gleitbackenfutter GBF-250_SWB;kontroll av chuck på FU;UH-TEK-A;A079291;UH-ING-A;2022-04-07  09,37,52;2022-04-11  11,38,47;2022-04-11  11,38,47;202204;;Skapat FU på att ta ned och kontrollera chucken (Sommar FU);WORKDONE;;;;19140;;0;;0;;;;;;;;14,81;0,56;14,25;1;0;13,25;15,02;0,21;0,02;0,17;0,02
KOP;8546713;Karl Klink driftmaskin, LM11;AA;;;Siemens 840D SL;3;;1;;;;;1;;;;70;Karl-Klink;7731;LM11;MA-MJUK;LM11;;40625003;ingen signal;MEK-A;2022-04-04  21,15,00;2022-04-04  21,15,00;2022-04-04  21,20,19;202204;A229608;2022-04-04  21,54,58;2022-04-04  22,00,00;2022-04-04  23,01,00;A376531;Felsökning;Missat vid urladdning.;WORKDONE;MEK-A;;A1;;360;External Influence (Strength);External influence;External influence;YES;40625567;8546713-C0487;5/2 riktningsventil, Modell, MDH-5/2-D3-FR-S-C-A-SA23712, 188006, Tillv, Festo, Tillv.nr, 188006;256;Festo;8546713-U28;Pneumatik;MEK-A;A376531;MEK-A;isärkörning på ventil;2022-04-05  13,49,19;2022-04-04  22,00,01;2022-04-04  22,45,00;;Återställt gripare med körning på ventil.;WORKDONE;202204;;;;STD-KAIZEN;40625579;8546713;Karl Klink driftmaskin, LM11;teknik eller kvalite;UH-TEK-A;A275085;UH-TEK-A;2022-04-05  13,59,21;2022-06-21  13,15,16;2022-06-21  13,15,16;202206;;teknik och kvalite informerade;WORKDONE;;;;870;;0;;0;;;;;;;;1,41;0,58;0,83;0,08;0;0,75;1,77;0,36;0;0,09;0,27
KOP;87143;PITTLER FRONTSVARV PETRA SL 2-2 LM27;AA;;;Siemens Sinumerik 840C;0;;1;1;;;2;4;;;;101;Pittler;7731;LM27;MA-MJUK;LM27;;40625212;motorskydd utlöst spåntransportör;EL-A;2022-04-05  05,00,00;2022-04-05  05,00,00;2022-04-05  05,38,00;202204;A181607;2022-04-05  05,58,59;2022-04-05  06,05,00;2022-04-05  06,15,00;A314677;Felsökning;;WORKDONE;EL-A;;A1;;241;Human Error Operator (Overload);Human Error Operator;Human error operator;YES;40625244;87143-C0017;Motorskydd;;;87143-U09;Spåntransportör;EL-A;A314677;EL-A;Utlöst motorskydd;2022-04-05  06,33,09;2022-04-05  06,05,00;2022-04-05  06,10,00;Återställt motorskydd;Gått spån baklänges i spåntransportören.;WORKDONE;202204;;;;STD-KAIZEN;40625247;87143-C0017;Motorskydd;Herca;AM;A315794;AM;2022-04-05  06,36,19;2022-04-06  09,53,06;2022-05-30  12,50,47;202205;;;WORKDONE;PD;H2022-05-30T10_25_13;;435;;0;;0;;;;;;;;0,53;0,35;0,18;0,1;0;0,08;1,25;0,71;0;0,63;0,08
KOP;8545939;Knoll till Emag maskiner;B;;;Siemens Simatic S7-300;1;;;;;;;0;;;;75;Knoll;7772;LM36;MA/PT-HÅRT;LM36;;40625820;översvämning;EL-A;2022-04-05  19,00,00;2022-04-05  19,00,00;2022-04-05  19,46,19;202204;A377490;2022-04-05  19,55,52;2022-04-05  20,25,52;2022-04-05  21,20,52;A226747;Felsökning;;WORKDONE;EL-A;;A1;;241;Human Error Operator (Overload);Human Error Operator;Human error operator;YES;40625864;8545939-C0053;Läckage detektator, Modell, LI 21, Tillv, Ifm;273;Ifm (Ifm Electronic);8545939-U01;Knoll - Reningsanläggning;EL-A;A226747;EL-A;Läckagevakt I5.3;2022-04-05  20,49,36;2022-04-05  20,25,52;2022-04-05  21,20,52;;Baljan som Knollen står i var full i kylvätska och i botten på den sitter en givare som ska indikera om anläggningen läcker. Vi tömde baljan på vätska.;WORKDONE;202204;;;;STD-KAIZEN;40625867;8545939-C0053;Läckage detektator, Modell, LI 21, Tillv, Ifm;Herca;UH-TEK-A;A079291;UH-ING-A;2022-04-05  20,55,32;2022-04-11  07,31,10;2022-04-11  07,31,10;202204;;H2022-04-08T14_32_40;WORKDONE;;H2022-04-08T14_32_40;;870;;0;;0;;;;;;;;1,58;0,16;1,42;0,5;0;0,92;2,35;0,77;0;0,77;0
KOP;8527199;EMAG AXELSVARV VTC 250 DUO LM08;AA;;;Siemens 840D PL;1;2;;1;1;1;;5;;;;33;Emag;7731;LM08;MA-MJUK;LM08;;40625893;fixa verktygs hållare;MEK-A;2022-04-05  21,20,00;2022-04-05  21,30,00;2022-04-05  21,33,00;202204;A398773;2022-04-05  21,50,05;2022-04-05  22,00,00;2022-04-06  00,05,00;A376531;felsökt;;WORKDONE;MEK-A;;A1;;210;Failure to Maintain Basic Condition (Overload);Autonomous Maintenance;Lack of basic conditions;YES;40625954;8527199-C0073;Verktygshållarenhet , Tillv, EMAG, Tillv.nr, 6298723-0110;33;Emag;8527199-U04;LT1-AXEL (Verktygsrotation);MEK-A;KK03047;MEK-A;fixa verktygshållare;2022-04-06  00,07,44;2022-04-05  22,00,00;2022-04-06  00,00,00;;"demonterat, rengjort. mycket spån under hållaren. lossat hållar skruv. funktionstestat.
monterat tillbaka hållaren och provkört. op nöjd

//thomsen och joel";WORKDONE;202204;;;;STD-KAIZEN;40625957;8527199-C0073;Verktygshållarenhet , Tillv, EMAG, Tillv.nr, 6298723-0110;SOP;UH-TEK-A;A275085;UH-TEK-A;2022-04-06  00,16,44;2022-04-07  15,19,16;2022-06-21  13,17,51;202206;SOP är skapad;Skapad som en del i punkten, gör rent från spån, i AM-schemat. /Heidi;WORKDONE;;;;870;;0;;0;;;;;;;;2,45;0,28;2,17;0,17;0;2;2,75;0,3;0,17;0,05;0,08
KOP;8527199;EMAG AXELSVARV VTC 250 DUO LM08;AA;;;Siemens 840D PL;1;2;;1;1;1;;5;;;;33;Emag;7731;LM08;MA-MJUK;LM08;;40626395;Verktygshållare till dubbhålsborr;MEK-A;2022-04-06  12,55,00;2022-04-06  12,56,00;2022-04-06  12,58,57;202204;A398773;2022-04-06  13,30,18;2022-04-06  15,30,00;2022-04-06  17,05,10;A257562;;Op har bytt verktygshållare och dubbhålsborr, provkörning pågår. Thomas och Joel 6/4-22;WORKDONE;MEK-A;;A1;;160;External Influence (Wear out);External influence;External influence;YES;40626670;8527199-C0073;Verktygshållarenhet , Tillv, EMAG, Tillv.nr, 6298723-0110;33;Emag;8527199-U04;LT1-AXEL (Verktygsrotation);MEK-A;A257562;MEK-A;Byta verktygshållare;2022-04-06  17,39,19;2022-04-06  15,30,00;2022-04-06  16,45,00;;Op har bytt verktygshållare, provkörning ok. Thomas och Joel 6/4-22;WORKDONE;202204;;;;STD-KAIZEN;40626678;8527199-C1178;Verktygshållare dubbhålsborr;Bytes på tid;UH-TEK-A;A275085;UH-TEK-A;2022-04-06  17,45,19;2022-08-10  12,03,03;2022-08-10  12,03,03;202208;;;WORKDONE;;;;1740;;0;;0;;;;;;;;3,77;0,52;3,25;2;0;1,25;4,17;0,41;0,02;0,05;0,34
KOP;80379;SMT NUMERISKT STYRD SVARV AV14;B;;;;0;1;2;1;1;1;2;8;;;;129;Smt;7761;AV14;PT-MJUK;AV14;;40626625;Knapp för att manuellt snurra spindeln;EL-A;2022-04-06  16,14,00;2022-04-06  16,14,00;2022-04-06  16,14,15;202204;A401008;2022-04-06  16,33,04;2022-04-06  16,55,04;2022-04-06  18,50,04;A226747;Felsökning;;WORKDONE;EL-A;;A1;;130;Failure to Restore or Eliminate Deterioration (Wear out);Professional Maintenance;Failure to restore or eliminate wear;YES;40626706;80379-C0050;*NY*Trycke frigivning spindelbroms;;;80379-U03;Detaljspindel;EL-A;A226747;EL-A;Rep trycke;2022-04-06  18,46,04;2022-04-06  16,55,04;2022-04-06  18,45,04;;Det sitter 30mm trycke till spindelbromsen. Hittade inget tryck så jag tog isär det o lagade trycket.;WORKDONE;202204;;;;STD-KAIZEN;40626710;80379-C0050;*NY*Trycke frigivning spindelbroms;Byte trycke;UH-TEK-A;A226747;EL-A;2022-04-06  18,50,19;2022-05-02  07,18,01;2022-05-02  07,18,01;202205;;Om maskinen skall vara kvar bör ett nytt trycke beställas o monteras.;WORKDONE;;;;1305;;0;;0;;;;;;;;2,51;0,31;2,2;0,37;0;1,83;2,6;0,08;0;0;0,08
